Time,Pitch
516,392
517,392
518,392
519,393
520,393
521,392
522,392
523,392
524,392
525,392
526,392
527,392
528,392
529,392
530,392
531,392
532,392
533,391
534,391
535,391
536,390
537,390
538,390
539,390
540,391
541,392
542,392
543,393
568,245
569,247
570,248
571,251
572,252
573,254
574,256
575,257
576,259
577,261
578,263
579,265
584,266
585,266
586,265
587,265
588,266
589,267
590,267
591,268
592,269
593,269
594,270
595,270
596,271
597,271
598,271
599,271
600,271
601,271
602,271
603,271
604,270
605,270
606,270
607,269
608,269
609,269
610,269
611,269
612,269
613,269
614,269
615,269
616,269
617,269
618,269
619,268
620,268
621,268
622,267
691,264
692,264
693,263
694,263
695,263
696,262
697,262
698,261
699,260
700,258
701,255
702,253
703,250
704,249
705,247
706,246
707,245
708,245
709,244
710,244
711,244
712,244
713,243
714,243
715,243
716,242
717,241
718,241
719,241
720,240
721,240
722,240
723,240
724,240
725,240
726,240
727,241
728,240
729,240
730,240
731,240
733,240
734,240
735,241
736,241
737,241
738,241
739,241
740,241
888,235
889,234
890,234
891,235
892,235
893,236
894,237
895,238
896,238
897,239
898,239
899,239
900,239
901,239
902,240
903,241
904,242
905,244
906,246
907,248
908,249
909,251
910,252
911,254
912,255
913,255
914,256
915,257
916,257
917,258
918,259
919,260
920,261
921,262
922,263
923,264
924,265
925,266
926,266
927,267
928,267
929,267
930,268
931,268
932,268
933,268
934,268
935,268
936,268
937,268
938,268
939,268
940,268
941,268
942,268
943,268
944,268
945,268
946,269
947,269
948,270
949,270
950,270
951,270
952,270
953,270
954,269
955,269
956,268
957,268
958,267
959,267
960,267
961,267
962,267
963,268
964,268
965,268
966,268
967,268
968,268
969,268
970,268
971,268
972,269
973,269
974,269
975,270
976,270
977,270
978,271
979,271
980,271
981,271
1461,349
1462,349
1463,350
1464,351
1465,351
1466,352
1467,352
1468,353
1469,353
1470,353
1471,352
1472,352
1931,421
1932,420
1933,424
1934,416
1935,415
1936,414
1937,412
1941,406
1942,405
2138,264
2139,265
2140,267
2141,268
2142,270
2143,270
2144,271
2145,272
2146,273
2147,272
2148,273
2149,273
2150,272
2151,272
2152,272
2153,272
2154,272
2155,272
2156,272
2157,272
2158,271
2159,271
2160,271
2169,275
2170,274
2171,275
2172,274
2173,275
2174,274
2184,268
2185,269
2186,269
2187,270
2188,271
2189,271
2190,271
2191,270
2192,270
2193,270
2194,270
2195,270
2196,270
2197,270
2198,270
2199,271
2200,272
2201,273
2202,273
2203,274
2204,274
2205,274
2206,275
2207,274
2208,274
2209,274
2210,274
2211,275
2212,275
2213,275
2214,275
2215,275
2285,450
2286,449
2287,449
2288,448
2289,448
2290,447
2291,446
2292,445
2294,443
2295,443
2296,441
2297,441
2298,441
2299,440
2300,439
2301,439
2302,438
2303,438
2304,437
2323,430
2324,430
2325,430
2326,429
2327,429
2328,429
2329,429
2330,428
2331,428
2332,428
2362,421
2372,426
2477,380
2478,379
2479,379
2480,378
2481,377
2482,376
2483,376
2484,376
2485,375
2486,376
2487,377
2488,378
2489,378
2490,378
2491,378
2492,378
2493,378
2494,378
2495,378
2496,379
2497,379
2498,378
2499,379
2500,379
2501,379
2502,379
2503,379
2504,379
2505,379
2506,379
2507,378
2508,378
2509,378
2510,377
2511,377
2512,376
2513,376
2514,376
2515,376
2547,297
2548,298
2549,302
2550,302
2551,305
2552,306
2553,307
2554,307
2555,308
2556,308
2557,309
2558,309
2559,309
2560,309
2561,309
2562,309
2563,309
2564,309
2565,309
2566,309
2567,308
2568,307
2569,306
2570,305
2571,303
2572,300
2573,298
2574,295
2575,294
2616,390
2617,390
2618,390
2619,391
2620,390
2621,390
2622,389
2623,389
2624,388
2625,387
2640,374
2641,373
2642,373
2643,372
2644,371
2645,371
2646,370
2647,370
2648,369
2649,368
2682,312
2683,311
2684,310
2685,309
2686,308
2687,307
2691,308
2692,307
2693,308
2694,308
2695,308
2696,309
2697,309
2698,309
2699,309
2700,309
2701,309
2702,308
2703,308
2704,308
2705,308
2706,308
2707,308
2708,308
2709,308
2710,308
2711,308
2712,308
2713,308
2714,309
2715,309
2716,309
2717,308
2718,309
2719,310
2720,310
2721,310
2722,309
2723,310
2724,309
2725,308
2726,306
2727,305
2728,304
2729,303
2730,302
2731,302
2732,302
2733,302
2734,301
2735,301
2736,300
2737,299
2738,298
2739,297
2740,295
2746,268
2747,268
2762,273
2763,273
2764,273
2765,272
2766,272
2767,271
2768,271
2769,270
2770,270
2771,269
2772,269
2773,268
2774,268
2775,267
2776,266
2777,265
2778,265
2779,265
2780,264
2781,264
2782,264
2783,264
2784,264
2785,264
2818,278
2819,278
2820,279
2821,279
2822,279
2823,279
2824,279
2825,281
2826,282
2827,282
2828,283
2829,282
2830,283
2834,285
2835,286
2839,292
2840,293
2853,301
2854,302
2855,303
2856,303
2857,303
2858,303
2859,304
2860,304
2861,304
2862,305
2863,305
2864,305
2865,306
2866,306
2867,307
2868,307
2869,307
2870,307
2871,308
2872,308
2873,308
2874,308
2875,309
2876,309
2877,310
2878,310
2879,311
2880,310
2881,310
2882,310
2883,310
2884,309
2885,309
2886,309
2887,309
2888,309
2889,309
2890,309
2891,308
2892,308
2893,308
2894,308
2895,308
2896,308
2897,308
2898,308
2899,308
2900,308
2901,308
2902,308
2903,308
2904,308
2905,309
2906,309
2907,309
2908,309
2909,309
2910,309
2913,309
2914,309
2915,309
2916,308
2917,307
2957,307
2963,308
2964,308
2965,308
2966,307
2967,308
2968,308
2969,308
2970,308
2971,308
2972,308
2973,308
2974,308
2975,308
2976,308
2977,308
2978,308
2979,307
2980,308
2981,307
2982,307
2983,307
2984,306
2985,307
2986,306
2987,307
2988,307
2989,307
2990,307
2991,306
3010,309
3011,309
3012,309
3013,309
3014,308
3015,308
3016,308
3017,309
3018,309
3019,309
3020,310
3021,310
3022,310
3023,310
3024,310
3025,310
3026,309
3027,308
3028,307
3029,307
3030,307
3031,308
3032,308
3033,308
3034,309
3035,309
3036,310
3037,310
3038,310
3039,311
3040,311
3041,311
3042,311
3043,311
3044,311
3045,311
3046,311
3047,311
3048,310
3049,310
3050,310
3051,310
3052,310
3053,309
3054,309
3055,309
3056,309
3057,309
3058,309
3059,309
3060,309
3061,309
3062,309
3063,310
3064,310
3065,310
3066,310
3067,310
3068,310
3069,310
3070,310
3071,310
3072,310
3073,310
3074,310
3075,310
3076,310
3077,310
3078,310
3079,310
3080,310
3092,381
3093,381
3097,381
3172,196
3173,195
3174,195
3175,194
3176,195
3179,196
3203,302
3204,302
3205,303
3206,304
3207,304
3208,306
3209,306
3210,307
3211,307
3212,307
3213,308
3214,308
3215,308
3216,309
3217,309
3218,309
3219,309
3220,309
3221,309
3222,309
3223,310
3224,309
3231,306
3232,306
3233,307
3234,307
3235,308
3236,308
3237,309
3238,309
3239,309
3240,309
3241,309
3242,309
3243,310
3244,309
3245,309
3246,309
3247,310
3248,310
3249,310
3250,310
3251,310
3252,310
3253,310
3254,310
3255,309
3256,309
3257,309
3258,308
3259,308
3260,307
3261,307
3262,306
3263,305
3264,304
3265,304
3266,303
3269,298
3270,298
3275,296
3277,287
3278,285
3279,284
3280,282
3281,281
3282,279
3283,275
3284,273
3285,270
3303,259
3304,258
3305,258
3306,258
3308,259
3309,259
3310,259
3311,261
3312,260
3313,260
3314,260
3315,260
3316,260
3318,259
3319,259
3324,247
3325,246
3326,246
3327,247
3328,246
3329,246
3330,246
3331,246
3332,245
3333,244
3334,244
3335,243
3336,242
3337,241
3338,240
3339,238
3340,238
3341,237
3342,237
3343,236
3344,236
3345,236
3346,237
3347,237
3348,237
3349,238
3350,238
3351,238
3352,239
3353,239
3354,240
3355,240
3356,241
3357,241
3358,242
3359,242
3360,243
3361,243
3362,244
3363,245
3364,245
3365,246
3366,247
3367,248
3368,249
3369,252
3370,254
3371,254
3372,257
3373,260
3374,261
3375,261
3379,253
3380,253
3381,253
3382,253
3383,253
3384,254
3385,254
3386,254
3387,254
3388,253
3389,254
3394,262
3395,262
3396,260
3397,260
3398,260
3399,261
3400,261
3401,261
3402,262
3403,262
3404,263
3405,263
3406,263
3407,263
3408,263
3409,263
3410,263
3411,263
3412,262
3413,262
3414,262
3415,261
3416,261
3420,265
3421,266
3422,267
3423,269
3424,270
3425,271
3426,271
3427,272
3428,272
3429,272
3430,271
3431,271
3432,270
3433,269
3434,269
3439,269
3440,268
3441,268
3444,267
3445,267
3446,267
3447,267
3448,267
3449,267
3450,267
3451,267
3452,267
3453,267
3454,267
3455,268
3456,268
3462,269
3463,269
3490,271
3491,271
3492,271
3493,271
3494,272
3495,272
3496,272
3497,272
3498,272
3499,272
3500,272
3501,273
3502,273
3503,273
3504,273
3505,273
3506,274
3507,273
3508,273
3509,274
3510,273
3518,280
3519,278
3520,276
3521,277
3522,275
3523,275
3524,274
3525,274
3526,273
3527,273
3528,273
3529,273
3530,272
3531,272
3532,272
3533,272
3534,271
3568,274
3569,274
3570,273
3571,273
3572,272
3573,271
3574,271
3635,271
3636,271
3639,270
3640,270
3641,270
3642,269
3643,269
