Time,Interval
4704.5,5.0
4706.5,10.0
4709.0,15.0
4713.5,10.0
4725.5,15.0
4726.5,20.0
4729.0,25.0
4708.5,5.0
4711.0,10.0
4715.5,5.0
4727.5,10.0
4728.5,15.0
4731.0,20.0
4713.5,5.0
4718.0,0.0
4730.0,5.0
4731.0,10.0
4733.5,15.0
4722.5,-5.0
4734.5,0.0
4735.5,5.0
4738.0,10.0
4745.5,15.0
4746.0,10.0
4737.0,5.0
4738.0,10.0
4740.5,15.0
4748.0,20.0
4748.5,15.0
4761.0,10.0
4748.5,5.0
4751.0,10.0
4758.5,15.0
4759.0,10.0
4771.5,5.0
4753.5,5.0
4761.0,10.0
4761.5,5.0
4774.0,0.0
4768.5,5.0
4769.0,0.0
4781.5,-5.0
4769.5,-5.0
4782.0,-10.0
4794.5,-5.0
4794.5,-5.0
4807.0,0.0
4811.0,-5.0
4819.5,5.0
4823.5,0.0
4835.0,-5.0
4838.0,-10.0
4827.5,-5.0
4839.0,-10.0
4842.0,-15.0
4852.0,-20.0
4850.5,-5.0
4853.5,-10.0
4863.5,-15.0
4870.5,-10.0
4875.0,-15.0
4856.5,-5.0
4866.5,-10.0
4873.5,-5.0
4878.0,-10.0
4869.5,-5.0
4876.5,0.0
4881.0,-5.0
4890.5,5.0
4895.0,0.0
4899.5,-5.0
4924.5,-10.0
4949.5,-5.0
6119.0,-95.0
6120.0,-90.0
6121.0,-85.0
6122.0,-80.0
6123.0,-75.0
6124.0,-70.0
6125.5,-65.0
6128.0,-60.0
6132.5,-55.0
6138.5,-50.0
6143.0,-45.0
7289.5,5.0
7290.5,10.0
7291.5,15.0
7292.5,20.0
7293.5,25.0
7295.0,30.0
7297.5,35.0
7302.0,40.0
7308.0,45.0
7312.5,50.0
7291.5,5.0
7292.5,10.0
7293.5,15.0
7294.5,20.0
7296.0,25.0
7298.5,30.0
7303.0,35.0
7309.0,40.0
7313.5,45.0
7293.5,5.0
7294.5,10.0
7295.5,15.0
7297.0,20.0
7299.5,25.0
7304.0,30.0
7310.0,35.0
7314.5,40.0
7295.5,5.0
7296.5,10.0
7298.0,15.0
7300.5,20.0
7305.0,25.0
7311.0,30.0
