Time,Interval
1024.5,5.0
1033.5,0.0
1042.5,-5.0
1061.0,0.0
1078.0,5.0
1437.5,5.0
1446.5,0.0
1455.5,-5.0
1578.0,-40.0
1581.0,-45.0
1583.5,-50.0
1705.5,-5.0
1708.0,-10.0
1710.5,-5.0
1754.5,10.0
1761.5,5.0
1764.5,0.0
1802.5,-5.0
1805.5,-10.0
1808.5,-5.0
2535.5,10.0
2537.5,5.0
2540.5,0.0
3242.5,-5.0
3245.5,-10.0
3248.5,-5.0
3371.0,40.0
3373.5,45.0
3382.0,40.0
3383.5,35.0
3385.0,30.0
3387.0,25.0
3389.0,20.0
3429.5,5.0
3438.0,0.0
3439.5,-5.0
3441.0,-10.0
3443.0,-15.0
3445.0,-20.0
3448.5,-5.0
3450.0,-10.0
3451.5,-15.0
3453.5,-20.0
3455.5,-25.0
3465.5,-30.0
3467.0,-25.0
3451.5,-5.0
3453.0,-10.0
3455.0,-15.0
3457.0,-20.0
3467.0,-25.0
3468.5,-20.0
3454.5,-5.0
3456.5,-10.0
3458.5,-15.0
3468.5,-20.0
3470.0,-15.0
3458.5,-5.0
3460.5,-10.0
3470.5,-15.0
3472.0,-10.0
3462.5,-5.0
3472.5,-10.0
3474.0,-5.0
3482.5,-5.0
3484.0,0.0
3485.5,5.0
3689.0,5.0
3691.5,10.0
3694.0,5.0
3700.0,0.0
3795.5,5.0
3798.0,0.0
3804.0,-5.0
3800.5,-5.0
3806.5,-10.0
3812.5,-5.0
3865.5,-5.0
3870.0,0.0
3887.0,5.0
3890.5,10.0
3874.5,5.0
3891.5,10.0
3895.0,15.0
3897.0,20.0
3899.5,25.0
3908.5,5.0
3912.0,10.0
3914.0,15.0
3916.5,20.0
3918.5,25.0
3921.0,30.0
3922.5,35.0
3930.0,30.0
3915.5,5.0
3917.5,10.0
3920.0,15.0
3922.0,20.0
3924.5,25.0
3926.0,30.0
3933.5,25.0
3940.5,20.0
3919.5,5.0
3922.0,10.0
3924.0,15.0
3926.5,20.0
3928.0,25.0
3935.5,20.0
3942.5,15.0
3943.0,20.0
3943.5,15.0
3924.5,5.0
3926.5,10.0
3929.0,15.0
3930.5,20.0
3938.0,15.0
3945.0,10.0
3945.5,15.0
3946.0,10.0
3928.5,5.0
3931.0,10.0
3932.5,15.0
