Time,Pitch
12,118
13,117
14,118
15,118
16,119
17,121
18,120
19,121
20,119
21,120
22,120
23,119
24,119
25,119
26,119
27,119
28,120
29,120
30,120
31,120
32,119
33,120
34,120
35,120
36,120
37,119
38,119
39,119
40,120
41,120
42,120
43,120
44,119
45,119
46,120
47,120
48,120
49,120
50,120
51,119
52,120
53,120
54,121
55,120
56,120
57,120
58,120
59,120
60,120
61,120
62,120
63,119
64,119
65,120
66,121
67,121
68,120
69,120
70,120
71,120
72,121
73,120
74,120
75,119
76,119
77,120
78,120
79,121
80,120
81,120
82,120
83,119
84,120
85,120
86,120
87,119
88,119
89,119
90,120
91,120
92,121
93,120
94,120
95,119
96,120
97,121
98,121
99,121
100,120
101,119
102,120
103,121
104,121
105,121
106,120
107,120
108,119
109,120
110,121
111,121
112,122
113,122
123,120
124,121
125,122
126,121
127,121
128,120
129,120
130,120
131,119
132,119
133,119
134,119
135,119
136,120
137,119
138,120
139,119
140,119
141,120
142,119
143,120
144,120
145,119
146,119
147,120
148,120
149,120
150,120
151,120
152,119
153,119
154,120
155,120
156,120
157,120
158,120
159,119
160,120
161,120
162,121
163,120
164,120
165,120
166,120
167,121
168,120
169,120
170,120
171,120
172,120
173,120
174,120
175,120
176,120
177,120
178,120
179,120
180,120
181,120
182,120
183,119
184,119
185,120
186,120
187,121
188,120
189,120
190,119
191,120
192,121
193,121
194,120
195,120
196,119
197,120
198,120
199,121
200,121
201,120
202,119
203,119
204,120
205,121
206,121
207,120
208,119
209,119
210,120
211,120
212,120
213,120
214,119
215,119
216,119
217,120
218,121
219,120
220,120
221,119
222,119
223,120
224,120
225,120
226,118
227,117
228,116
229,117
230,118
231,118
232,119
233,119
234,119
235,120
236,121
237,122
238,120
239,119
240,119
241,119
242,120
243,120
244,120
245,120
246,119
247,120
248,120
249,120
250,120
251,119
252,118
253,118
254,118
255,119
256,119
257,119
258,119
259,118
260,119
261,120
262,120
263,120
264,120
265,119
266,119
267,120
268,120
269,121
270,120
271,119
272,120
273,120
274,121
275,121
276,120
277,119
278,119
279,119
280,120
281,120
282,120
283,119
284,119
285,119
286,120
287,120
288,120
289,119
290,119
291,119
292,119
293,120
294,120
295,120
296,119
297,119
298,120
299,120
300,120
301,120
302,119
303,119
304,119
305,120
306,120
307,120
308,119
309,119
310,119
311,120
312,120
313,120
314,119
315,119
316,119
317,120
319,120
341,120
365,119
366,120
367,119
368,119
369,119
384,119
385,119
442,220
443,221
444,222
445,222
446,222
447,222
448,222
461,222
469,222
470,222
471,221
472,221
475,222
477,222
480,220
481,221
482,221
483,223
484,224
485,223
486,224
487,224
488,224
489,224
490,224
491,224
550,150
551,152
552,151
553,151
554,151
555,151
556,151
557,151
558,151
559,151
560,151
561,151
562,151
563,151
564,151
565,151
566,151
567,152
568,152
569,151
570,151
571,150
572,150
573,150
574,150
575,150
576,149
577,149
578,149
579,149
580,149
581,149
582,149
583,149
584,149
585,150
586,150
587,150
588,150
589,150
590,150
591,150
592,149
593,149
594,149
595,150
596,150
597,150
598,150
599,150
600,150
601,150
602,150
603,150
604,150
605,150
606,150
607,150
608,150
609,150
610,150
611,150
612,150
613,149
614,149
615,149
616,150
617,150
618,150
619,150
620,150
621,150
622,150
623,150
624,150
625,150
626,150
627,149
628,149
629,150
630,150
631,150
632,150
634,149
635,149
637,149
638,149
639,149
641,148
