Time,Interval
237.5,-5.0
254.5,0.0
255.5,-5.0
262.5,5.0
263.5,0.0
284.5,-160.0
273.5,-5.0
294.5,-165.0
297.0,-160.0
794.5,5.0
804.0,0.0
804.5,-5.0
946.5,5.0
948.0,0.0
970.5,-5.0
1242.5,165.0
1244.5,160.0
1320.5,-5.0
1672.0,5.0
1674.5,0.0
1692.5,-5.0
1693.0,0.0
1695.0,5.0
1984.5,-5.0
2002.5,-10.0
2003.0,-5.0
2005.0,0.0
2008.0,5.0
2020.5,-5.0
2021.0,0.0
2023.0,5.0
2026.0,10.0
2033.0,5.0
2034.0,10.0
2021.5,5.0
2023.5,10.0
2026.5,15.0
2033.5,10.0
2034.5,15.0
2025.5,5.0
2028.5,10.0
2035.5,5.0
2036.5,10.0
2031.5,5.0
2038.5,0.0
2039.5,5.0
2045.5,-5.0
2046.5,0.0
2047.5,5.0
2108.0,-5.0
2116.5,0.0
2118.0,5.0
2254.5,-10.0
2662.0,5.0
2665.5,0.0
2927.5,-5.0
2950.0,-75.0
2953.0,-70.0
3109.0,-50.0
3109.5,-45.0
3112.5,-50.0
3110.5,5.0
3113.5,0.0
3116.5,-5.0
3290.5,-5.0
3291.0,0.0
3304.0,30.0
3291.5,5.0
3304.5,35.0
3306.5,30.0
3419.0,-20.0
3421.0,-50.0
3481.0,-30.0
3662.5,-5.0
3664.0,105.0
3667.5,30.0
3665.5,110.0
3669.0,35.0
3669.5,-75.0
3927.5,-50.0
4232.5,90.0
4395.5,-5.0
4396.5,0.0
4411.0,-5.0
4412.0,0.0
4397.5,5.0
4412.0,0.0
4413.0,5.0
4425.5,-5.0
4426.5,0.0
4428.5,5.0
4531.0,100.0
4691.5,-25.0
4694.0,-30.0
4760.5,-5.0
4893.5,5.0
4896.5,10.0
4899.5,5.0
4923.0,-95.0
4943.0,-100.0
5044.5,100.0
5171.0,-10.0
5269.0,-40.0
5270.5,-45.0
5298.0,-5.0
5567.5,50.0
5571.0,45.0
5842.5,-5.0
5973.5,5.0
5997.5,0.0
6021.5,-5.0
6203.5,5.0
6204.5,0.0
6205.0,5.0
6205.5,0.0
6205.5,-5.0
6206.0,0.0
6206.5,-5.0
6206.5,5.0
6207.0,0.0
6207.5,-5.0
6341.5,5.0
6342.5,0.0
6363.0,5.0
6365.0,0.0
6343.5,-5.0
6364.0,0.0
6366.0,-5.0
6379.5,5.0
6381.5,0.0
6388.5,-5.0
6974.5,-20.0
7067.5,-50.0
7287.5,-5.0
7289.5,65.0
7290.0,60.0
7291.0,70.0
7291.5,65.0
7292.5,-5.0
7442.5,40.0
7537.5,-30.0
7765.5,-5.0
7767.5,0.0
7768.0,5.0
7820.0,30.0
7972.5,-25.0
7974.0,-20.0
8031.5,5.0
8087.5,-5.0
8091.5,-10.0
8095.5,-5.0
