Time,Interval
685.5,5.0
687.5,10.0
694.5,5.0
1795.0,285.0
1795.5,290.0
1797.0,295.0
1798.5,300.0
2890.5,5.0
2892.0,10.0
2893.5,15.0
2893.0,5.0
2894.5,10.0
2895.5,5.0
4627.0,-250.0
4628.0,-245.0
4630.0,-240.0
4632.0,-235.0
4636.0,-230.0
4640.0,-225.0
4642.5,-220.0
4645.0,-215.0
4647.5,-210.0
6353.5,5.0
6355.5,10.0
6357.5,15.0
6361.5,20.0
6365.5,25.0
6368.0,30.0
6370.5,35.0
6373.0,40.0
6357.5,5.0
6359.5,10.0
6363.5,15.0
6367.5,20.0
6370.0,25.0
6372.5,30.0
6375.0,35.0
6361.5,5.0
6365.5,10.0
6369.5,15.0
6372.0,20.0
6374.5,25.0
6377.0,30.0
6385.5,25.0
6369.5,5.0
6373.5,10.0
6376.0,15.0
6378.5,20.0
6381.0,25.0
6389.5,20.0
6393.5,15.0
6394.0,10.0
6377.5,5.0
6380.0,10.0
6382.5,15.0
6385.0,20.0
6393.5,15.0
6397.5,10.0
6398.0,5.0
6382.5,5.0
6385.0,10.0
6387.5,15.0
6396.0,10.0
6400.0,5.0
6400.5,0.0
6387.5,5.0
6390.0,10.0
6398.5,5.0
6402.5,0.0
6403.0,-5.0
6392.5,5.0
6401.0,0.0
6405.0,-5.0
6405.5,-10.0
6409.5,-5.0
6413.5,-10.0
6414.0,-15.0
6417.0,-5.0
6417.5,-10.0
6418.5,-5.0
6457.0,15.0
6463.5,10.0
6466.5,5.0
6470.5,0.0
6507.5,-5.0
6510.5,-10.0
6514.5,-15.0
6527.0,-10.0
6513.5,-5.0
6517.5,-10.0
6530.0,-5.0
6537.5,-10.0
6521.5,-5.0
6534.0,0.0
6541.5,-5.0
6543.5,-10.0
6545.0,-15.0
6546.5,5.0
6554.0,0.0
6556.0,-5.0
6557.5,-10.0
6561.5,-5.0
6563.5,-10.0
6565.0,-15.0
6565.5,-5.0
6567.0,-10.0
6568.5,-5.0
7643.0,-45.0
7644.0,-40.0
7645.5,-45.0
8715.5,5.0
8717.0,0.0
8718.5,-5.0
8743.5,0.0
8763.0,5.0
8763.5,10.0
8767.5,15.0
8771.0,20.0
8769.5,5.0
8773.5,10.0
8777.0,15.0
8777.5,5.0
8781.0,10.0
8784.5,5.0
9449.5,-30.0
9450.0,-25.0
9451.0,-20.0
9452.5,-15.0
9455.0,-10.0
9457.5,-5.0
9461.0,0.0
9473.5,5.0
10109.5,5.0
10110.5,10.0
10112.0,15.0
10114.5,20.0
10117.0,25.0
10120.5,30.0
10133.0,35.0
10111.5,5.0
10113.0,10.0
10115.5,15.0
10118.0,20.0
10121.5,25.0
10134.0,30.0
10114.5,5.0
10117.0,10.0
10119.5,15.0
10123.0,20.0
10135.5,25.0
10139.0,30.0
10119.5,5.0
10122.0,10.0
10125.5,15.0
10138.0,20.0
10141.5,25.0
10124.5,5.0
10128.0,10.0
10140.5,15.0
10144.0,20.0
10148.5,25.0
10131.5,5.0
10144.0,10.0
10147.5,15.0
10152.0,20.0
10156.5,5.0
10160.0,10.0
10164.5,15.0
10163.5,5.0
10168.0,10.0
10188.5,15.0
10172.5,5.0
10193.0,10.0
10213.5,5.0
10224.0,0.0
10233.0,5.0
10234.5,-5.0
10243.5,0.0
10252.5,5.0
10643.5,5.0
10647.0,0.0
10650.5,-5.0
10702.5,-5.0
10706.5,-10.0
10708.5,-15.0
10710.0,-20.0
10710.5,-5.0
10712.5,-10.0
10714.0,-15.0
10714.5,-5.0
10716.0,-10.0
10717.5,-5.0
10820.5,-5.0
10826.5,0.0
10830.5,-5.0
10844.0,0.0
10845.5,5.0
10934.5,5.0
10938.5,0.0
10952.0,5.0
10953.5,10.0
10956.5,15.0
10959.5,20.0
10942.5,-5.0
10956.0,0.0
10957.5,5.0
10960.5,10.0
10963.5,15.0
10967.5,5.0
10969.0,10.0
10972.0,15.0
10975.0,20.0
10980.5,25.0
10972.5,5.0
10975.5,10.0
10978.5,15.0
10984.0,20.0
10978.5,5.0
10981.5,10.0
10987.0,15.0
10984.5,5.0
10990.0,10.0
10995.5,5.0
11054.5,-5.0
11062.0,15.0
11063.0,20.0
11065.5,25.0
11068.0,30.0
11063.5,20.0
11064.5,25.0
11067.0,30.0
11069.5,35.0
11071.5,5.0
11074.0,10.0
11076.5,15.0
11076.5,5.0
11079.0,10.0
11081.5,5.0
11183.5,-5.0
11184.5,0.0
11193.0,5.0
11193.5,0.0
11194.0,5.0
11195.5,0.0
11185.5,5.0
11194.0,10.0
11194.5,5.0
11195.0,10.0
11196.5,5.0
11202.5,5.0
11203.0,0.0
11203.5,5.0
11205.0,0.0
11203.5,-5.0
11204.0,0.0
11205.5,-5.0
11204.5,5.0
11206.0,0.0
11207.5,-5.0
11278.5,5.0
11280.5,10.0
11284.0,15.0
11282.5,5.0
11286.0,10.0
11306.0,15.0
11289.5,5.0
11309.5,10.0
11329.5,5.0
12159.0,-30.0
12159.5,-25.0
12160.0,-20.0
12161.0,-15.0
12162.0,-10.0
12163.0,-5.0
12164.5,0.0
12167.0,5.0
12168.5,10.0
12169.5,15.0
12171.0,20.0
12173.0,25.0
12174.5,30.0
12454.5,5.0
12455.0,10.0
12456.0,15.0
12457.0,20.0
12458.0,25.0
12459.5,30.0
12462.0,35.0
12463.5,40.0
12464.5,45.0
12466.0,50.0
12468.0,55.0
12469.5,60.0
12455.5,5.0
12456.5,10.0
12457.5,15.0
12458.5,20.0
12460.0,25.0
12462.5,30.0
12464.0,35.0
12465.0,40.0
12466.5,45.0
12468.5,50.0
12470.0,55.0
12457.5,5.0
12458.5,10.0
12459.5,15.0
12461.0,20.0
12463.5,25.0
12465.0,30.0
12466.0,35.0
12467.5,40.0
12469.5,45.0
12471.0,50.0
12459.5,5.0
12460.5,10.0
12462.0,15.0
12464.5,20.0
12466.0,25.0
12467.0,30.0
12468.5,35.0
12470.5,40.0
12472.0,45.0
12461.5,5.0
12463.0,10.0
12465.5,15.0
12467.0,20.0
12468.0,25.0
12469.5,30.0
12471.5,35.0
12473.0,40.0
12464.5,5.0
12467.0,10.0
12468.5,15.0
12469.5,20.0
12471.0,25.0
12473.0,30.0
12474.5,35.0
12469.5,5.0
12471.0,10.0
12472.0,15.0
12473.5,20.0
12475.5,25.0
12477.0,30.0
12494.0,35.0
12472.5,5.0
12473.5,10.0
12475.0,15.0
12477.0,20.0
12478.5,25.0
12495.5,30.0
12474.5,5.0
12476.0,10.0
12478.0,15.0
12479.5,20.0
12496.5,25.0
12477.5,5.0
12479.5,10.0
12481.0,15.0
12498.0,20.0
12501.5,25.0
12481.5,5.0
12483.0,10.0
12500.0,15.0
12503.5,20.0
12484.5,5.0
12501.5,10.0
12505.0,15.0
12509.0,20.0
12518.5,5.0
12522.0,10.0
12526.0,15.0
12530.5,20.0
12525.5,5.0
12529.5,10.0
12534.0,15.0
12533.5,5.0
12538.0,10.0
12542.5,5.0
12613.5,-5.0
12620.5,-10.0
12622.5,-15.0
12632.5,-20.0
12627.5,-5.0
12629.5,-10.0
12639.5,-15.0
12631.5,-5.0
12641.5,-10.0
12651.5,-5.0
12835.5,-5.0
12840.5,-10.0
12845.5,-5.0
12901.0,-5.0
12902.0,0.0
12910.0,5.0
12966.0,-5.0
12969.0,0.0
12978.5,5.0
12982.0,0.0
12982.5,5.0
12983.0,0.0
12979.5,5.0
12989.0,10.0
12992.5,5.0
12993.0,10.0
12993.5,5.0
12998.5,5.0
13002.0,0.0
13002.5,5.0
13003.0,0.0
13005.5,-5.0
13006.0,0.0
13006.5,-5.0
13006.5,5.0
13007.0,0.0
13007.5,-5.0
13124.5,-5.0
13127.5,-10.0
13130.5,-5.0
13179.0,-10.0
13179.5,-5.0
13183.5,-10.0
13226.5,5.0
13230.5,0.0
13234.5,-5.0
13485.5,-15.0
13487.5,-20.0
13492.5,-25.0
13499.5,-20.0
13560.5,-5.0
13565.5,-10.0
13572.5,-5.0
13584.5,-10.0
13570.5,-5.0
13577.5,0.0
13589.5,-5.0
13584.5,5.0
13596.5,0.0
13605.5,5.0
13608.5,-5.0
13617.5,0.0
13622.0,5.0
13624.5,10.0
13626.0,15.0
13626.5,5.0
13631.0,10.0
13633.5,15.0
13635.0,20.0
13647.0,25.0
13635.5,5.0
13638.0,10.0
13639.5,15.0
13651.5,20.0
13640.5,5.0
13642.0,10.0
13654.0,15.0
13643.5,5.0
13655.5,10.0
13661.5,5.0
13798.0,5.0
13801.0,0.0
13809.0,-5.0
13812.5,0.0
13922.5,-5.0
13930.5,-10.0
13934.0,-5.0
13938.5,-5.0
13942.0,0.0
13945.5,5.0
14024.5,-5.0
14071.0,100.0
14155.5,-90.0
14159.0,-85.0
14172.5,-80.0
14176.5,-75.0
14190.5,5.0
14204.0,10.0
14208.0,15.0
14217.5,5.0
14221.5,10.0
14225.5,5.0
14305.5,-5.0
14310.0,-10.0
14312.0,-15.0
14314.5,-5.0
14316.5,-10.0
14318.5,-5.0
14434.0,85.0
14437.5,90.0
14441.0,85.0
14552.5,5.0
14556.0,0.0
14559.5,-5.0
14612.5,-5.0
14627.5,10.0
14631.5,5.0
14630.0,15.0
14634.0,10.0
14644.0,15.0
14650.5,-5.0
14660.5,0.0
14667.5,5.0
14749.0,-100.0
14751.0,-95.0
14753.0,-90.0
14753.5,-85.0
14754.0,-80.0
14754.5,-75.0
14755.5,-70.0
14771.0,-65.0
14773.5,-60.0
14830.5,5.0
14832.5,10.0
14833.0,15.0
14833.5,20.0
14834.0,25.0
14835.0,30.0
14850.5,35.0
14853.0,40.0
14855.5,45.0
14834.5,5.0
14835.0,10.0
14835.5,15.0
14836.0,20.0
14837.0,25.0
14852.5,30.0
14855.0,35.0
14857.5,40.0
14835.5,5.0
14836.0,10.0
14836.5,15.0
14837.5,20.0
14853.0,25.0
14855.5,30.0
14858.0,35.0
14836.5,5.0
14837.0,10.0
14838.0,15.0
14853.5,20.0
14856.0,25.0
14858.5,30.0
14837.5,5.0
14838.5,10.0
14854.0,15.0
14856.5,20.0
14859.0,25.0
14839.5,5.0
14855.0,10.0
14857.5,15.0
14860.0,20.0
14870.5,5.0
14873.0,10.0
14875.5,15.0
14880.5,20.0
14875.5,5.0
14878.0,10.0
14883.0,15.0
14880.5,5.0
14885.5,10.0
14890.5,5.0
14957.5,-5.0
14971.0,-20.0
14980.0,-25.0
14975.5,-15.0
14984.5,-20.0
15002.5,-5.0
15039.0,-15.0
15039.5,-10.0
15040.5,-5.0
15041.0,0.0
15042.0,5.0
15070.5,5.0
15071.5,10.0
15072.0,15.0
15073.0,20.0
15072.5,5.0
15073.0,10.0
15074.0,15.0
15073.5,5.0
15074.5,10.0
15075.5,5.0
15126.5,-5.0
15130.0,-10.0
15133.5,-5.0
15214.5,5.0
15215.0,0.0
15215.5,-5.0
15319.0,5.0
15319.5,10.0
15320.5,5.0
15328.5,0.0
15357.5,5.0
15358.5,0.0
15366.5,-5.0
15359.5,-5.0
15367.5,-10.0
15375.5,-5.0
15395.0,-10.0
15414.5,-5.0
15466.5,-15.0
15467.0,-10.0
15476.0,-15.0
15481.0,-20.0
15488.0,-15.0
15515.5,5.0
15524.5,0.0
15529.5,-5.0
15536.5,0.0
15533.5,-5.0
15538.5,-10.0
15545.5,-5.0
15543.5,-5.0
15550.5,0.0
15565.0,-5.0
15567.0,0.0
15557.5,5.0
15572.0,0.0
15574.0,5.0
15586.5,-5.0
15588.5,0.0
15611.0,-5.0
15590.5,5.0
15613.0,0.0
15635.5,-5.0
15643.0,-10.0
15647.0,-5.0
15649.5,0.0
15650.5,-5.0
15654.5,0.0
15657.0,5.0
15658.5,5.0
15661.0,10.0
15663.5,5.0
15720.5,-5.0
15756.5,-10.0
15764.0,-15.0
15768.0,-20.0
15772.5,-15.0
15778.5,-10.0
15805.5,-5.0
15809.5,-10.0
15814.0,-5.0
15820.0,0.0
15813.5,-5.0
15818.0,0.0
15824.0,5.0
15819.0,5.0
15825.0,10.0
15843.5,15.0
15829.5,5.0
15848.0,10.0
15871.5,5.0
16004.5,5.0
16006.5,10.0
16010.0,15.0
16015.5,20.0
16016.0,25.0
16018.5,30.0
16008.5,5.0
16012.0,10.0
16017.5,15.0
16018.0,20.0
16020.5,25.0
16015.5,5.0
16021.0,10.0
16021.5,15.0
16024.0,20.0
16021.5,5.0
16022.0,10.0
16024.5,15.0
16027.5,5.0
16030.0,10.0
16032.5,5.0
16056.5,-15.0
16058.5,-20.0
16068.0,-25.0
16071.0,-20.0
16099.5,-5.0
16102.5,0.0
16105.5,5.0
16128.5,10.0
16129.5,15.0
16130.0,20.0
16130.5,25.0
16130.0,5.0
16131.0,10.0
16131.5,15.0
16132.0,20.0
16133.5,25.0
16136.0,20.0
16143.0,15.0
16149.5,20.0
16155.0,15.0
16153.5,5.0
16154.0,10.0
16154.5,15.0
16156.0,20.0
16158.5,15.0
16165.5,10.0
16172.0,15.0
16177.5,10.0
16154.5,5.0
16155.0,10.0
16156.5,15.0
16159.0,10.0
16166.0,5.0
16172.5,10.0
16178.0,5.0
16155.5,5.0
16157.0,10.0
16159.5,5.0
16166.5,0.0
16173.0,5.0
16178.5,0.0
16158.5,5.0
16161.0,0.0
16168.0,-5.0
16174.5,0.0
16180.0,-5.0
16163.5,-5.0
16170.5,-10.0
16177.0,-5.0
16182.5,-10.0
16188.5,-25.0
16177.5,-5.0
16184.0,0.0
16189.5,-5.0
16195.5,-20.0
16190.5,5.0
16196.0,0.0
16202.0,-15.0
16201.5,-5.0
16207.5,-20.0
16208.5,-15.0
16278.0,30.0
16278.5,25.0
16285.5,20.0
16305.5,-5.0
16312.5,-10.0
16319.5,-5.0
16367.5,-30.0
16368.0,-25.0
16369.0,-20.0
16371.0,-15.0
16379.0,-20.0
16387.5,5.0
16388.5,10.0
16390.5,15.0
16398.5,10.0
16389.5,5.0
16391.5,10.0
16399.5,5.0
16393.5,5.0
16401.5,0.0
16418.0,5.0
16409.5,-5.0
16426.0,0.0
16427.0,-5.0
16442.5,5.0
16443.5,0.0
16444.5,-5.0
16488.5,5.0
16492.0,0.0
16503.5,5.0
16505.0,0.0
16508.0,5.0
16512.5,0.0
16534.5,-5.0
16546.0,0.0
16547.5,-5.0
16550.5,0.0
16555.0,-5.0
16557.5,-10.0
16555.0,5.0
16556.5,0.0
16559.5,5.0
16564.0,0.0
16566.5,-5.0
16572.0,0.0
16574.5,5.0
16576.0,10.0
16577.0,15.0
16560.5,-5.0
16563.5,0.0
16568.0,-5.0
16570.5,-10.0
16576.0,-5.0
16578.5,0.0
16580.0,5.0
16581.0,10.0
16566.5,5.0
16571.0,0.0
16573.5,-5.0
16579.0,0.0
16581.5,5.0
16583.0,10.0
16584.0,15.0
16589.0,20.0
16575.5,-5.0
16578.0,-10.0
16583.5,-5.0
16586.0,0.0
16587.5,5.0
16588.5,10.0
16593.5,15.0
16580.5,-5.0
16586.0,0.0
16588.5,5.0
16590.0,10.0
16591.0,15.0
16596.0,20.0
16591.5,5.0
16594.0,10.0
16595.5,15.0
16596.5,20.0
16601.5,25.0
16596.5,5.0
16598.0,10.0
16599.0,15.0
16604.0,20.0
16599.5,5.0
16600.5,10.0
16605.5,15.0
16601.5,5.0
16606.5,10.0
16626.5,15.0
16611.5,5.0
16631.5,10.0
16632.5,5.0
16651.5,5.0
16652.5,0.0
16657.5,-5.0
16660.5,-10.0
16661.5,-15.0
16670.5,-20.0
16653.5,-5.0
16658.5,-10.0
16661.5,-15.0
16662.5,-20.0
16671.5,-25.0
16663.5,-5.0
16666.5,-10.0
16667.5,-15.0
16676.5,-20.0
16669.5,-5.0
16670.5,-10.0
16679.5,-15.0
16671.5,-5.0
16680.5,-10.0
16686.5,-5.0
16786.0,10.0
16789.0,15.0
16791.5,10.0
16795.5,5.0
16798.5,0.0
16830.5,5.0
16833.0,0.0
16837.0,-5.0
16840.0,-10.0
16835.5,-5.0
16839.5,-10.0
16842.5,-15.0
16843.5,-5.0
16846.5,-10.0
16849.5,-5.0
16906.5,5.0
16945.5,-25.0
16959.5,-30.0
16967.5,-25.0
16970.5,-20.0
17004.5,-5.0
17012.5,0.0
17015.5,5.0
17022.5,0.0
17020.5,5.0
17023.5,10.0
17030.5,5.0
17026.5,5.0
17033.5,0.0
17040.5,-5.0
17131.0,40.0
17132.5,45.0
17134.0,50.0
17137.5,45.0
17148.5,50.0
17152.5,55.0
17155.0,60.0
17208.5,5.0
17210.0,10.0
17213.5,5.0
17224.5,10.0
17228.5,15.0
17231.0,20.0
17233.5,25.0
17211.5,5.0
17215.0,0.0
17226.0,5.0
17230.0,10.0
17232.5,15.0
17235.0,20.0
17218.5,-5.0
17229.5,0.0
17233.5,5.0
17236.0,10.0
17238.5,15.0
17243.0,20.0
17240.5,5.0
17244.5,10.0
17247.0,15.0
17249.5,20.0
17254.0,25.0
17248.5,5.0
17251.0,10.0
17253.5,15.0
17258.0,20.0
17253.5,5.0
17256.0,10.0
