Time,Interval
287.5,10.0
292.0,5.0
294.0,10.0
295.0,5.0
311.5,0.0
312.5,5.0
296.5,-5.0
298.5,0.0
299.5,-5.0
316.0,-10.0
317.0,-5.0
318.0,0.0
320.0,5.0
300.0,5.0
301.0,0.0
317.5,-5.0
318.5,0.0
319.5,5.0
321.5,10.0
323.5,15.0
324.5,20.0
302.5,-5.0
319.0,-10.0
320.0,-5.0
321.0,0.0
323.0,5.0
325.0,10.0
326.0,15.0
327.5,20.0
319.5,-5.0
320.5,0.0
321.5,5.0
323.5,10.0
325.5,15.0
326.5,20.0
328.0,25.0
330.0,30.0
331.5,35.0
333.0,40.0
337.5,5.0
338.5,10.0
340.5,15.0
342.5,20.0
343.5,25.0
345.0,30.0
347.0,35.0
348.5,40.0
350.0,45.0
339.5,5.0
341.5,10.0
343.5,15.0
344.5,20.0
346.0,25.0
348.0,30.0
349.5,35.0
351.0,40.0
343.5,5.0
345.5,10.0
346.5,15.0
348.0,20.0
350.0,25.0
351.5,30.0
353.0,35.0
347.5,5.0
348.5,10.0
350.0,15.0
352.0,20.0
353.5,25.0
355.0,30.0
372.5,35.0
349.5,5.0
351.0,10.0
353.0,15.0
354.5,20.0
356.0,25.0
373.5,30.0
352.5,5.0
354.5,10.0
356.0,15.0
357.5,20.0
375.0,25.0
356.5,5.0
358.0,10.0
359.5,15.0
377.0,20.0
380.5,25.0
359.5,5.0
361.0,10.0
378.5,15.0
382.0,20.0
362.5,5.0
380.0,10.0
383.5,15.0
387.5,20.0
397.5,5.0
401.0,10.0
405.0,15.0
410.0,20.0
420.5,15.0
404.5,5.0
408.5,10.0
413.5,15.0
424.0,10.0
412.5,5.0
417.5,10.0
428.0,5.0
436.5,10.0
422.5,5.0
433.0,0.0
441.5,5.0
443.5,-5.0
452.0,0.0
466.0,-5.0
460.5,5.0
474.5,0.0
482.5,-5.0
484.0,-10.0
488.5,-5.0
496.5,-10.0
498.0,-15.0
505.5,-20.0
501.5,-5.0
503.0,-10.0
510.5,-15.0
507.5,-5.0
515.0,-10.0
522.5,-5.0
542.5,-10.0
562.5,-5.0
569.5,0.0
576.5,5.0
597.5,0.0
598.5,5.0
599.0,0.0
600.5,5.0
618.5,-5.0
619.5,0.0
620.0,-5.0
621.5,0.0
620.5,5.0
621.0,0.0
622.5,5.0
621.5,-5.0
623.0,0.0
624.5,5.0
707.5,-5.0
714.5,-10.0
721.5,-5.0
844.0,-5.0
848.0,0.0
856.5,5.0
857.5,0.0
867.0,-5.0
862.5,5.0
871.0,10.0
872.0,5.0
881.5,0.0
879.5,5.0
880.5,0.0
890.0,-5.0
899.0,0.0
881.5,-5.0
891.0,-10.0
900.0,-5.0
900.5,-5.0
909.5,0.0
918.5,5.0
937.0,0.0
955.5,-5.0
962.5,0.0
977.5,-5.0
969.5,5.0
984.5,0.0
988.5,-5.0
999.5,-5.0
1003.5,-10.0
1007.5,-5.0
1224.5,-30.0
1227.0,-35.0
1236.5,-30.0
1246.0,-35.0
1445.5,-5.0
1455.0,0.0
1464.5,-5.0
1464.5,5.0
1474.0,0.0
1485.0,5.0
1489.0,10.0
1483.5,-5.0
1494.5,0.0
1498.5,5.0
1501.0,10.0
1503.5,15.0
1505.5,5.0
1509.5,10.0
1512.0,15.0
1514.5,20.0
1530.0,25.0
1513.5,5.0
1516.0,10.0
1518.5,15.0
1534.0,20.0
1518.5,5.0
1521.0,10.0
1536.5,15.0
1523.5,5.0
1539.0,10.0
1554.5,5.0
1676.0,5.0
1677.0,0.0
1685.0,-5.0
1693.0,0.0
1796.5,-5.0
1804.5,-10.0
1812.5,-5.0
1812.5,-5.0
1820.5,0.0
1827.5,5.0
1845.5,0.0
1850.0,5.0
1864.5,-5.0
1869.0,0.0
1882.5,-5.0
1873.5,5.0
1887.0,0.0
1900.5,-5.0
1947.0,100.0
1951.0,95.0
1997.5,-5.0
2033.5,-85.0
2045.5,-80.0
2050.5,-75.0
2054.5,-70.0
2086.5,5.0
2091.5,10.0
2095.5,15.0
2096.5,5.0
2100.5,10.0
2104.5,5.0
2167.5,-5.0
2168.5,0.0
2169.5,-5.0
2179.0,-10.0
2181.5,-15.0
2169.5,5.0
2170.5,0.0
2180.0,-5.0
2182.5,-10.0
2171.5,-5.0
2181.0,-10.0
2183.5,-15.0
2190.5,-5.0
2193.0,-10.0
2195.5,-5.0
2311.0,85.0
2486.5,-5.0
2503.0,10.0
2505.0,5.0
2507.0,15.0
2509.0,10.0
2521.0,15.0
2523.5,-5.0
2535.5,0.0
2544.5,5.0
2628.5,-100.0
2630.5,-95.0
2632.5,-90.0
2633.0,-85.0
2633.5,-80.0
2634.0,-75.0
2634.5,-70.0
2643.5,-75.0
2646.5,-70.0
2651.0,-65.0
2653.5,-60.0
2708.5,5.0
2710.5,10.0
2711.0,15.0
2711.5,20.0
2712.0,25.0
2712.5,30.0
2721.5,25.0
2724.5,30.0
2729.0,35.0
2731.5,40.0
2712.5,5.0
2713.0,10.0
2713.5,15.0
2714.0,20.0
2714.5,25.0
2723.5,20.0
2726.5,25.0
2731.0,30.0
2733.5,35.0
2736.0,40.0
2713.5,5.0
2714.0,10.0
2714.5,15.0
2715.0,20.0
2724.0,15.0
2727.0,20.0
2731.5,25.0
2734.0,30.0
2736.5,35.0
2714.5,5.0
2715.0,10.0
2715.5,15.0
2724.5,10.0
2727.5,15.0
2732.0,20.0
2734.5,25.0
2737.0,30.0
2715.5,5.0
2716.0,10.0
2725.0,5.0
2728.0,10.0
2732.5,15.0
2735.0,20.0
2737.5,25.0
2716.5,5.0
2725.5,0.0
2728.5,5.0
2733.0,10.0
2735.5,15.0
2738.0,20.0
2734.5,-5.0
2737.5,0.0
2742.0,5.0
2744.5,10.0
2747.0,15.0
2753.5,20.0
2740.5,5.0
2745.0,10.0
2747.5,15.0
2750.0,20.0
2756.5,25.0
2749.5,5.0
2752.0,10.0
2754.5,15.0
2761.0,20.0
2754.5,5.0
2757.0,10.0
2763.5,15.0
2759.5,5.0
2766.0,10.0
2772.5,5.0
2825.5,-5.0
2844.0,-25.0
2844.5,-20.0
2849.5,-25.0
2853.0,-20.0
2853.5,-15.0
2858.5,-20.0
2863.5,5.0
2868.5,0.0
2873.5,-5.0
2916.0,-15.0
2916.5,-10.0
2917.0,-5.0
2918.0,0.0
2919.5,5.0
2922.5,0.0
2924.0,5.0
2925.0,0.0
2925.5,5.0
2948.5,5.0
2949.0,10.0
2950.0,15.0
2951.5,20.0
2954.5,15.0
2956.0,20.0
2957.0,15.0
2957.5,20.0
2949.5,5.0
2950.5,10.0
2952.0,15.0
2955.0,10.0
2956.5,15.0
2957.5,10.0
2958.0,15.0
2951.5,5.0
2953.0,10.0
2956.0,5.0
2957.5,10.0
2958.5,5.0
2959.0,10.0
2976.5,5.0
2954.5,5.0
2957.5,0.0
2959.0,5.0
2960.0,0.0
2960.5,5.0
2978.0,0.0
2960.5,-5.0
2962.0,0.0
2963.0,-5.0
2963.5,0.0
2981.0,-5.0
2984.5,-10.0
2963.5,5.0
2964.5,0.0
2965.0,5.0
2982.5,0.0
2986.0,-5.0
2965.5,-5.0
2966.0,0.0
2983.5,-5.0
2987.0,-10.0
2966.5,5.0
2984.0,0.0
2987.5,-5.0
3001.5,-5.0
3005.0,-10.0
3008.5,-5.0
3196.0,5.0
3204.0,0.0
3210.0,-5.0
3212.0,0.0
3212.5,-5.0
3218.0,0.0
3250.5,-5.0
3256.5,-10.0
3258.5,-5.0
3259.0,-10.0
3264.5,-5.0
3270.5,-10.0
3262.5,-5.0
3264.5,0.0
3265.0,-5.0
3270.5,0.0
3276.5,-5.0
3266.5,5.0
3267.0,0.0
3272.5,5.0
3278.5,0.0
3267.5,-5.0
3273.0,0.0
3279.0,-5.0
3278.5,5.0
3284.5,0.0
3290.5,-5.0
3343.0,-15.0
3343.5,-10.0
3349.5,-15.0
3356.0,-20.0
3365.0,-15.0
3393.5,5.0
3399.5,0.0
3406.0,-5.0
3415.0,0.0
3405.5,-5.0
3412.0,-10.0
3421.0,-5.0
3418.5,-5.0
3427.5,0.0
3438.0,-5.0
3436.5,5.0
3447.0,0.0
3455.5,5.0
3457.5,-5.0
3466.0,0.0
3481.5,-5.0
3474.5,5.0
3490.0,0.0
3505.5,-5.0
3521.0,-10.0
3521.5,-5.0
3523.5,0.0
3530.5,-5.0
3531.0,0.0
3533.0,5.0
3545.0,0.0
