Time,Interval
191.0,-50.0
296.5,60.0
303.0,-10.0
360.5,-70.0
411.5,-10.0
491.5,50.0
608.5,-100.0
628.5,-70.0
650.0,30.0
664.5,120.0
686.5,90.0
874.5,20.0
880.5,-50.0
918.5,-70.0
985.5,60.0
992.0,-10.0
1049.0,-70.0
1100.0,-10.0
1180.5,50.0
1289.5,-30.0
1311.0,0.0
1332.0,30.0
1442.0,20.0
1562.0,20.0
1568.0,-50.0
1607.0,-70.0
1674.5,60.0
1681.0,-10.0
1738.0,-70.0
1791.0,-10.0
1869.5,50.0
1876.0,-20.0
1893.5,50.0
1910.5,-70.0
1928.0,0.0
1939.5,70.0
1987.5,-100.0
2007.0,-70.0
2028.0,30.0
2042.5,120.0
2052.0,50.0
2064.5,90.0
2074.0,20.0
2086.0,-70.0
2155.0,70.0
2252.5,20.0
2259.5,-50.0
2298.0,-70.0
2363.5,60.0
2370.0,-10.0
2427.5,-70.0
2472.0,60.0
2552.0,-20.0
2667.0,-30.0
2714.5,-40.0
2731.0,50.0
2753.5,90.0
