Time,Interval
4326.5,-5.0
4328.0,0.0
4339.0,-5.0
4329.5,5.0
4340.5,0.0
4351.5,-5.0
4412.5,-25.0
4428.0,-30.0
4499.5,-5.0
4584.5,-5.0
4588.0,-10.0
4597.0,-15.0
4604.5,-20.0
4591.5,-5.0
4600.5,-10.0
4608.0,-15.0
4615.5,-20.0
4609.5,-5.0
4617.0,-10.0
4624.5,-15.0
4626.0,-20.0
4628.0,-25.0
4630.5,-30.0
4633.5,-35.0
4624.5,-5.0
4632.0,-10.0
4633.5,-15.0
4635.5,-20.0
4638.0,-25.0
4641.0,-30.0
4638.5,-5.0
4640.0,-10.0
4642.0,-15.0
4644.5,-20.0
4647.5,-25.0
4642.5,-5.0
4644.5,-10.0
4647.0,-15.0
4650.0,-20.0
4646.5,-5.0
4649.0,-10.0
4652.0,-15.0
4651.5,-5.0
4654.5,-10.0
4657.5,-5.0
4742.5,5.0
4745.5,10.0
4748.0,15.0
4750.0,20.0
4751.0,25.0
4752.5,30.0
4754.0,35.0
4755.0,40.0
4756.5,45.0
4760.5,50.0
4748.5,5.0
4751.0,10.0
4753.0,15.0
4754.0,20.0
4755.5,25.0
4757.0,30.0
4758.0,35.0
4759.5,40.0
4763.5,45.0
4753.5,5.0
4755.5,10.0
4756.5,15.0
4758.0,20.0
4759.5,25.0
4760.5,30.0
4762.0,35.0
4766.0,40.0
4777.5,45.0
4757.5,5.0
4758.5,10.0
4760.0,15.0
4761.5,20.0
4762.5,25.0
4764.0,30.0
4768.0,35.0
4779.5,40.0
4781.0,35.0
4759.5,5.0
4761.0,10.0
4762.5,15.0
4763.5,20.0
4765.0,25.0
4769.0,30.0
4780.5,35.0
4782.0,30.0
4762.5,5.0
4764.0,10.0
4765.0,15.0
4766.5,20.0
4770.5,25.0
4782.0,30.0
4783.5,25.0
4765.5,5.0
4766.5,10.0
4768.0,15.0
4772.0,20.0
4783.5,25.0
4785.0,20.0
4767.5,5.0
4769.0,10.0
4773.0,15.0
4784.5,20.0
4786.0,15.0
4770.5,5.0
4774.5,10.0
4786.0,15.0
4787.5,10.0
4778.5,5.0
4790.0,10.0
4791.5,5.0
4801.5,5.0
4803.0,0.0
4804.5,-5.0
5283.0,20.0
5905.5,-5.0
6183.5,5.0
6193.0,0.0
6203.0,5.0
6202.5,-5.0
6212.5,0.0
6222.5,5.0
6239.0,0.0
6246.5,-5.0
6255.5,-5.0
6263.0,-10.0
6268.5,-15.0
6272.0,-20.0
6275.0,-25.0
6278.5,-30.0
6270.5,-5.0
6276.0,-10.0
6279.5,-15.0
6282.5,-20.0
6286.0,-25.0
6291.0,-30.0
6281.5,-5.0
6285.0,-10.0
6288.0,-15.0
6291.5,-20.0
6296.5,-25.0
6288.5,-5.0
6291.5,-10.0
6295.0,-15.0
6300.0,-20.0
6294.5,-5.0
6298.0,-10.0
6303.0,-15.0
6301.5,-5.0
6306.5,-10.0
6325.5,-5.0
6311.5,-5.0
6330.5,0.0
6349.5,5.0
6361.5,0.0
6373.5,-5.0
6993.0,45.0
7013.5,40.0
7648.5,-5.0
7749.0,5.0
7948.0,5.0
7954.5,0.0
7960.5,-5.0
7961.5,-5.0
7967.5,-10.0
7973.5,-5.0
7996.0,0.0
7997.0,5.0
8076.5,-5.0
8285.5,-50.0
8287.0,-45.0
8289.0,-40.0
8292.0,-35.0
8295.0,-30.0
8309.5,-25.0
8474.5,5.0
8476.5,10.0
8479.5,15.0
8482.5,20.0
8497.0,25.0
8478.5,5.0
8481.5,10.0
8484.5,15.0
