Time,Interval
8701.5,5.0
8708.5,10.0
8714.5,15.0
8715.5,5.0
8721.5,10.0
8727.5,5.0
8747.0,0.0
8766.5,-5.0
8777.5,0.0
8786.5,-5.0
8778.0,5.0
8787.0,0.0
8802.0,5.0
8806.5,-5.0
8821.5,0.0
8836.5,5.0
8858.0,0.0
8879.5,-5.0
9256.5,-30.0
9257.0,-25.0
9258.0,-20.0
9259.0,-15.0
9261.0,-10.0
9262.5,-5.0
9264.0,0.0
9267.0,5.0
9278.5,0.0
9629.5,5.0
9630.5,10.0
9631.5,15.0
9633.5,20.0
9635.0,25.0
9636.5,30.0
9639.5,35.0
9651.0,30.0
9654.5,35.0
9631.5,5.0
9632.5,10.0
9634.5,15.0
9636.0,20.0
9637.5,25.0
9640.5,30.0
9652.0,25.0
9655.5,30.0
9633.5,5.0
9635.5,10.0
9637.0,15.0
9638.5,20.0
9641.5,25.0
9653.0,20.0
9656.5,25.0
9637.5,5.0
9639.0,10.0
9640.5,15.0
9643.5,20.0
9655.0,15.0
9658.5,20.0
9640.5,5.0
9642.0,10.0
9645.0,15.0
9656.5,10.0
9660.0,15.0
9643.5,5.0
9646.5,10.0
9658.0,5.0
9661.5,10.0
9649.5,5.0
9661.0,0.0
9664.5,5.0
9672.5,-5.0
9676.0,0.0
9679.5,5.0
9755.0,-10.0
9758.0,-15.0
9760.0,-20.0
9763.0,-25.0
9780.0,-20.0
9805.5,-5.0
9807.5,-10.0
9810.5,-15.0
9827.5,-10.0
9809.5,-5.0
9812.5,-10.0
9829.5,-5.0
9834.0,-10.0
9834.5,-5.0
9815.5,-5.0
9832.5,0.0
9837.0,-5.0
9837.5,0.0
9849.5,5.0
9854.0,0.0
9854.5,5.0
9862.5,10.0
9865.0,15.0
9868.0,20.0
9858.5,-5.0
9859.0,0.0
9867.0,5.0
9869.5,10.0
9872.5,15.0
9859.5,5.0
9867.5,10.0
9870.0,15.0
9873.0,20.0
9875.5,5.0
9878.0,10.0
9881.0,15.0
9896.5,20.0
9880.5,5.0
9883.5,10.0
9899.0,15.0
9905.0,10.0
9886.5,5.0
9902.0,10.0
9908.0,5.0
9917.5,5.0
9923.5,0.0
9929.0,5.0
9929.5,-5.0
9935.0,0.0
9940.5,5.0
10155.5,-5.0
10166.5,0.0
10177.5,5.0
10197.5,0.0
10217.5,-5.0
10225.5,0.0
10237.0,5.0
10233.5,5.0
10245.0,10.0
10256.5,5.0
10312.5,5.0
10466.0,-30.0
10467.5,-25.0
10471.5,-30.0
10475.5,-25.0
10480.0,-20.0
10483.5,-15.0
10488.5,-10.0
10612.5,5.0
10616.5,0.0
10620.5,5.0
10625.0,10.0
10628.5,15.0
10633.5,20.0
10620.5,-5.0
10624.5,0.0
10629.0,5.0
10632.5,10.0
10637.5,15.0
10628.5,5.0
10633.0,10.0
10636.5,15.0
10641.5,20.0
10651.0,15.0
10637.5,5.0
10641.0,10.0
10646.0,15.0
10655.5,10.0
10644.5,5.0
10649.5,10.0
10659.0,5.0
10654.5,5.0
10664.0,0.0
10678.5,5.0
10673.5,-5.0
10688.0,0.0
10696.5,-5.0
10702.5,5.0
10711.0,0.0
10721.5,5.0
10719.5,-5.0
10730.0,0.0
10740.5,5.0
10799.5,-5.0
11201.0,-10.0
11203.5,-5.0
11207.0,0.0
11211.0,5.0
11212.5,0.0
11217.5,5.0
11222.5,0.0
11590.5,5.0
11594.0,10.0
11598.0,15.0
11599.5,10.0
11604.5,15.0
11609.5,10.0
11614.0,15.0
11597.5,5.0
11601.5,10.0
11603.0,5.0
11608.0,10.0
11613.0,5.0
11617.5,10.0
11622.0,5.0
11605.5,5.0
11607.0,0.0
11612.0,5.0
11617.0,0.0
11621.5,5.0
11626.0,0.0
11627.5,5.0
11608.5,-5.0
11613.5,0.0
11618.5,-5.0
11623.0,0.0
11627.5,-5.0
11629.0,0.0
11618.5,5.0
11623.5,0.0
11628.0,5.0
11632.5,0.0
11634.0,5.0
11628.5,-5.0
11633.0,0.0
11637.5,-5.0
11639.0,0.0
11637.5,5.0
11642.0,0.0
11643.5,5.0
11662.5,0.0
11646.5,-5.0
11648.0,0.0
11667.0,-5.0
11649.5,5.0
11668.5,0.0
11687.5,-5.0
11696.0,-10.0
11698.0,-15.0
11700.5,-20.0
11703.5,-25.0
11697.5,-5.0
11699.5,-10.0
11702.0,-15.0
11705.0,-20.0
11708.5,-5.0
11711.0,-10.0
11714.0,-15.0
11732.5,-10.0
11733.5,-15.0
11713.5,-5.0
11716.5,-10.0
11735.0,-5.0
11736.0,-10.0
11737.5,-5.0
11719.5,-5.0
11738.0,0.0
11739.0,-5.0
11740.5,0.0
11756.5,5.0
11757.5,0.0
11759.0,5.0
11763.5,10.0
11766.5,15.0
11769.5,20.0
11773.0,25.0
11758.5,-5.0
11760.0,0.0
11764.5,5.0
11767.5,10.0
11770.5,15.0
11774.0,20.0
11761.5,5.0
11766.0,10.0
11769.0,15.0
11772.0,20.0
11775.5,25.0
11770.5,5.0
11773.5,10.0
11776.5,15.0
11780.0,20.0
11795.0,15.0
11776.5,5.0
11779.5,10.0
11783.0,15.0
11798.0,10.0
11782.5,5.0
11786.0,10.0
11801.0,5.0
11789.5,5.0
11804.5,0.0
11819.5,-5.0
11831.0,0.0
11841.0,5.0
11843.0,0.0
11842.5,5.0
11852.5,10.0
11854.5,5.0
11862.5,5.0
11864.5,0.0
11866.5,-5.0
12357.5,-5.0
12366.5,0.0
12375.5,5.0
12394.0,10.0
12396.0,15.0
12398.5,10.0
12403.5,5.0
12405.5,10.0
12408.0,5.0
12415.0,10.0
12419.0,5.0
12416.5,5.0
12419.0,0.0
12426.0,5.0
12430.0,0.0
12421.5,-5.0
12428.5,0.0
12432.5,-5.0
12435.5,5.0
12439.5,0.0
12443.5,-5.0
12471.0,10.0
12473.0,5.0
12487.5,10.0
12490.5,15.0
12495.0,20.0
12499.5,-5.0
12514.0,0.0
12517.0,5.0
12521.5,10.0
12524.0,15.0
12528.5,5.0
12531.5,10.0
12536.0,15.0
12538.5,20.0
12548.5,15.0
12534.5,5.0
12539.0,10.0
12541.5,15.0
12551.5,10.0
12540.5,5.0
12543.0,10.0
12553.0,5.0
12564.5,10.0
12548.5,5.0
12558.5,0.0
12570.0,5.0
12568.5,-5.0
12580.0,0.0
12591.5,5.0
12607.5,0.0
12623.5,-5.0
12645.0,0.0
12645.5,-5.0
12646.0,0.0
12666.5,5.0
12667.0,0.0
12667.5,5.0
12688.5,0.0
12667.5,-5.0
12668.0,0.0
12689.0,-5.0
12668.5,5.0
12689.5,0.0
12710.5,-5.0
12720.0,-10.0
12729.0,-5.0
12732.5,0.0
12729.5,-5.0
12738.5,0.0
12742.0,5.0
12750.0,0.0
12753.0,-5.0
12747.5,5.0
12751.0,10.0
12759.0,5.0
12762.0,0.0
12754.5,5.0
12762.5,0.0
12765.5,-5.0
