Time,Interval
13.5,-5.0
23.5,-10.0
28.0,-15.0
35.0,-10.0
33.5,-5.0
38.0,-10.0
45.0,-5.0
49.5,0.0
51.5,5.0
52.5,10.0
54.5,15.0
55.0,20.0
55.5,25.0
56.5,30.0
57.5,35.0
58.0,40.0
42.5,-5.0
49.5,0.0
54.0,5.0
56.0,10.0
57.0,15.0
59.0,20.0
59.5,25.0
60.0,30.0
61.0,35.0
62.0,40.0
62.5,45.0
63.5,50.0
65.0,55.0
67.0,60.0
56.5,5.0
61.0,10.0
63.0,15.0
64.0,20.0
66.0,25.0
66.5,30.0
67.0,35.0
68.0,40.0
69.0,45.0
69.5,50.0
70.5,55.0
72.0,60.0
74.0,65.0
75.0,70.0
76.5,75.0
80.5,80.0
65.5,5.0
67.5,10.0
68.5,15.0
70.5,20.0
71.0,25.0
71.5,30.0
72.5,35.0
73.5,40.0
74.0,45.0
75.0,50.0
76.5,55.0
78.5,60.0
79.5,65.0
81.0,70.0
85.0,75.0
69.5,5.0
70.5,10.0
72.5,15.0
73.0,20.0
73.5,25.0
74.5,30.0
75.5,35.0
76.0,40.0
77.0,45.0
78.5,50.0
80.5,55.0
81.5,60.0
83.0,65.0
87.0,70.0
71.5,5.0
73.5,10.0
74.0,15.0
74.5,20.0
75.5,25.0
76.5,30.0
77.0,35.0
78.0,40.0
79.5,45.0
81.5,50.0
82.5,55.0
84.0,60.0
88.0,65.0
75.5,5.0
76.0,10.0
76.5,15.0
77.5,20.0
78.5,25.0
79.0,30.0
80.0,35.0
81.5,40.0
83.5,45.0
84.5,50.0
86.0,55.0
90.0,60.0
76.5,5.0
77.0,10.0
78.0,15.0
79.0,20.0
79.5,25.0
80.5,30.0
82.0,35.0
84.0,40.0
85.0,45.0
86.5,50.0
90.5,55.0
77.5,5.0
78.5,10.0
79.5,15.0
80.0,20.0
81.0,25.0
82.5,30.0
84.5,35.0
85.5,40.0
87.0,45.0
91.0,50.0
79.5,5.0
80.5,10.0
81.0,15.0
82.0,20.0
83.5,25.0
85.5,30.0
86.5,35.0
88.0,40.0
92.0,45.0
81.5,5.0
82.0,10.0
83.0,15.0
84.5,20.0
86.5,25.0
87.5,30.0
89.0,35.0
93.0,40.0
82.5,5.0
83.5,10.0
85.0,15.0
87.0,20.0
88.0,25.0
89.5,30.0
93.5,35.0
84.5,5.0
86.0,10.0
88.0,15.0
89.0,20.0
90.5,25.0
94.5,30.0
87.5,5.0
89.5,10.0
90.5,15.0
92.0,20.0
96.0,25.0
91.5,5.0
92.5,10.0
94.0,15.0
98.0,20.0
93.5,5.0
95.0,10.0
99.0,15.0
96.5,5.0
100.5,10.0
104.5,5.0
