Time,Interval
3534.0,10.0
3537.0,15.0
3548.0,10.0
3545.5,5.0
3556.5,0.0
3567.5,-5.0
3586.0,5.0
3589.5,0.0
3592.5,-5.0
3589.0,10.0
3592.5,5.0
3595.5,0.0
3599.0,-5.0
3603.0,0.0
3605.5,5.0
3606.5,10.0
3611.5,5.0
3611.5,-5.0
3614.5,-10.0
3618.0,-15.0
3622.0,-10.0
3624.5,-5.0
3625.5,0.0
3630.5,-5.0
3617.5,-5.0
3621.0,-10.0
3625.0,-5.0
3627.5,0.0
3628.5,5.0
3633.5,0.0
3624.5,-5.0
3628.5,0.0
3631.0,5.0
3632.0,10.0
3637.0,5.0
3632.5,5.0
3635.0,10.0
3636.0,15.0
3641.0,10.0
3637.5,5.0
3638.5,10.0
3643.5,5.0
3639.5,5.0
3644.5,0.0
3649.5,-5.0
3679.5,-30.0
3680.0,-25.0
3682.5,-20.0
3695.5,-15.0
3698.5,-10.0
3701.0,-5.0
3703.5,0.0
3709.5,5.0
3712.0,10.0
3725.0,15.0
3728.0,20.0
3730.5,25.0
3733.0,30.0
3714.5,5.0
3727.5,10.0
3730.5,15.0
3733.0,20.0
3735.5,25.0
3740.5,5.0
3743.5,10.0
3746.0,15.0
3748.5,20.0
3746.5,5.0
3749.0,10.0
3751.5,15.0
3751.5,5.0
3754.0,10.0
3756.5,5.0
3781.5,0.0
3806.5,-5.0
3808.0,-10.0
3809.5,-5.0
3916.0,-35.0
3917.0,-40.0
3927.5,-35.0
3931.0,-30.0
3933.0,-25.0
3935.5,-20.0
3939.5,-15.0
4023.5,-5.0
4034.0,0.0
4037.5,5.0
4039.5,10.0
4042.0,15.0
4046.0,20.0
4044.5,5.0
4048.0,10.0
4050.0,15.0
4052.5,20.0
4056.5,25.0
4060.5,20.0
4051.5,5.0
4053.5,10.0
4056.0,15.0
4060.0,20.0
4064.0,15.0
4074.0,10.0
4074.5,15.0
4055.5,5.0
4058.0,10.0
4062.0,15.0
4066.0,10.0
4076.0,5.0
4076.5,10.0
4060.5,5.0
4064.5,10.0
4068.5,5.0
4078.5,0.0
4079.0,5.0
4084.5,10.0
4068.5,5.0
4072.5,0.0
4082.5,-5.0
4083.0,0.0
4088.5,5.0
4091.5,10.0
4076.5,-5.0
4086.5,-10.0
4087.0,-5.0
4092.5,0.0
4095.5,5.0
4099.5,0.0
4096.5,-5.0
4097.0,0.0
4102.5,5.0
4105.5,10.0
4109.5,5.0
4115.0,0.0
4097.5,5.0
4103.0,10.0
4106.0,15.0
4110.0,10.0
4115.5,5.0
4108.5,5.0
4111.5,10.0
4115.5,5.0
4121.0,0.0
4130.5,5.0
4114.5,5.0
4118.5,0.0
4124.0,-5.0
4133.5,0.0
4122.5,-5.0
4128.0,-10.0
4137.5,-5.0
4133.5,-5.0
4143.0,0.0
4153.5,-5.0
4152.5,5.0
4163.0,0.0
4174.5,5.0
4173.5,-5.0
4185.0,0.0
4196.5,5.0
5555.5,25.0
5556.0,30.0
5561.5,35.0
5562.0,30.0
5566.0,25.0
5567.5,20.0
5575.5,25.0
6905.5,5.0
6911.0,10.0
6911.5,5.0
6915.5,0.0
6917.0,-5.0
6925.0,0.0
6916.5,5.0
6917.0,0.0
6921.0,-5.0
6922.5,-10.0
6930.5,-5.0
6917.5,-5.0
6921.5,-10.0
6923.0,-15.0
6931.0,-10.0
6925.5,-5.0
6927.0,-10.0
6935.0,-5.0
6928.5,-5.0
6936.5,0.0
6944.5,5.0
6998.5,-5.0
7001.5,-10.0
7005.0,-15.0
7016.0,-10.0
7020.5,-5.0
7004.5,-5.0
7008.0,-10.0
7019.0,-5.0
7023.5,0.0
7027.0,5.0
7011.5,-5.0
7022.5,0.0
7027.0,5.0
7030.5,10.0
7033.5,5.0
7038.0,10.0
7041.5,15.0
7050.5,20.0
7055.0,15.0
7042.5,5.0
7046.0,10.0
7055.0,15.0
7059.5,10.0
7049.5,5.0
7058.5,10.0
7063.0,5.0
7067.5,5.0
7072.0,0.0
7076.5,-5.0
7099.5,-10.0
7122.5,-5.0
7240.0,-30.0
7241.5,-25.0
7244.0,-20.0
7257.5,-25.0
7262.0,-20.0
7353.5,5.0
7356.0,10.0
7369.5,5.0
7374.0,10.0
7358.5,5.0
7372.0,0.0
7376.5,5.0
7385.5,-5.0
7390.0,0.0
7398.0,10.0
7404.5,5.0
7407.5,0.0
7410.5,-5.0
7394.5,5.0
7402.5,15.0
7409.0,10.0
7412.0,5.0
7415.0,0.0
7405.0,10.0
7411.5,5.0
7414.5,0.0
7417.5,-5.0
7423.5,-5.0
7426.5,-10.0
7429.5,-15.0
7429.5,-5.0
7432.5,-10.0
7435.5,-5.0
8852.0,30.0
10296.5,-5.0
10298.5,-10.0
10304.5,-15.0
10310.0,-20.0
10300.5,-5.0
10306.5,-10.0
10312.0,-15.0
10324.5,-10.0
10307.0,-5.0
10312.5,-10.0
10325.0,-5.0
10327.5,0.0
10329.5,5.0
10332.0,10.0
10323.5,-5.0
10336.0,0.0
10338.5,5.0
10340.5,10.0
10343.0,15.0
10348.5,5.0
10351.0,10.0
10353.0,15.0
10355.5,20.0
10353.5,5.0
10355.5,10.0
10358.0,15.0
10377.5,10.0
10357.5,5.0
10360.0,10.0
10379.5,5.0
10382.5,0.0
10362.5,5.0
10382.0,0.0
10385.0,-5.0
10386.0,-10.0
10401.5,-5.0
10404.5,-10.0
10405.5,-15.0
10408.0,-20.0
10414.5,-15.0
10416.0,-20.0
10407.5,-5.0
10408.5,-10.0
10411.0,-15.0
10417.5,-10.0
10419.0,-15.0
10409.5,-5.0
10412.0,-10.0
10418.5,-5.0
10420.0,-10.0
10414.5,-5.0
10421.0,0.0
10422.5,-5.0
10427.5,5.0
10429.0,0.0
10430.5,-5.0
10478.0,5.0
10484.5,0.0
10486.0,-5.0
10487.5,-10.0
10493.5,-5.0
10495.5,0.0
10527.5,-5.0
10529.0,-10.0
10530.5,-15.0
10536.5,-10.0
10538.5,-5.0
10530.5,-5.0
10532.0,-10.0
10538.0,-5.0
10540.0,0.0
10533.5,-5.0
10539.5,0.0
10541.5,5.0
10545.5,5.0
10547.5,10.0
10549.5,5.0
10590.5,-25.0
10591.5,-30.0
10599.0,-25.0
10602.0,-20.0
10604.0,-15.0
10605.5,-10.0
10622.5,-5.0
10630.0,0.0
10633.0,5.0
10635.0,10.0
10636.5,15.0
10637.5,5.0
10640.5,10.0
10642.5,15.0
10644.0,20.0
10643.5,5.0
10645.5,10.0
10647.0,15.0
10647.5,5.0
10649.0,10.0
10650.5,5.0
12134.5,-5.0
12135.5,0.0
12136.5,5.0
12139.5,10.0
12151.0,15.0
12153.0,20.0
12155.0,25.0
12157.0,30.0
12159.5,35.0
13614.5,5.0
13615.5,10.0
13618.5,15.0
13630.0,20.0
13632.0,25.0
13634.0,30.0
13636.0,35.0
13638.5,40.0
13616.5,5.0
13619.5,10.0
13631.0,15.0
13633.0,20.0
13635.0,25.0
13637.0,30.0
13639.5,35.0
13622.5,5.0
13634.0,10.0
13636.0,15.0
13638.0,20.0
13640.0,25.0
13642.5,30.0
13645.5,5.0
13647.5,10.0
13649.5,15.0
13651.5,20.0
13654.0,25.0
13662.0,20.0
13649.5,5.0
13651.5,10.0
13653.5,15.0
13656.0,20.0
13664.0,15.0
13653.5,5.0
13655.5,10.0
13658.0,15.0
13666.0,10.0
13678.0,5.0
13657.5,5.0
13660.0,10.0
13668.0,5.0
13680.0,0.0
13662.5,5.0
13670.5,0.0
13682.5,-5.0
13685.5,-10.0
13678.5,-5.0
13690.5,-10.0
13693.5,-15.0
13702.5,-5.0
13705.5,-10.0
13708.5,-5.0
13762.5,-5.0
13766.5,-10.0
13775.0,-5.0
13823.5,-5.0
13832.0,0.0
13840.5,5.0
13891.0,-35.0
13899.0,-30.0
13903.0,-25.0
13905.5,-20.0
13907.5,-15.0
13913.0,-10.0
13913.5,-15.0
13948.5,5.0
13952.5,10.0
13955.0,15.0
13957.0,20.0
13962.5,25.0
13963.0,20.0
13956.5,5.0
13959.0,10.0
13961.0,15.0
13966.5,20.0
13967.0,15.0
13961.5,5.0
13963.5,10.0
13969.0,15.0
13969.5,10.0
13965.5,5.0
13971.0,10.0
13971.5,5.0
13976.5,5.0
13977.0,0.0
13977.5,-5.0
14021.0,15.0
14022.5,10.0
14025.0,5.0
14027.0,0.0
14039.5,-5.0
14042.0,-10.0
14044.0,-15.0
14044.5,-5.0
14046.5,-10.0
14048.5,-5.0
14514.0,-15.0
14515.5,-10.0
14517.5,-15.0
14524.0,-25.0
14531.5,-20.0
14534.0,-25.0
14958.5,5.0
14960.5,0.0
14967.0,-10.0
14974.5,-5.0
14977.0,-10.0
14962.5,-5.0
14969.0,-15.0
14976.5,-10.0
14979.0,-15.0
14973.0,-10.0
14980.5,-5.0
14983.0,-10.0
14985.0,5.0
14987.5,0.0
14995.0,-5.0
15890.5,100.0
15894.5,95.0
15900.5,90.0
15902.0,85.0
15903.0,80.0
15906.5,110.0
15912.0,105.0
15914.5,100.0
16791.5,-5.0
16797.5,-10.0
16799.0,-15.0
16800.0,-20.0
16803.5,10.0
16809.0,5.0
16811.5,0.0
16803.5,-5.0
16805.0,-10.0
16806.0,-15.0
16809.5,15.0
16815.0,10.0
16817.5,5.0
16825.5,10.0
16826.5,15.0
16806.5,-5.0
16807.5,-10.0
16811.0,20.0
16816.5,15.0
16819.0,10.0
16827.0,15.0
16828.0,20.0
16831.0,25.0
16808.5,-5.0
16812.0,25.0
16817.5,20.0
16820.0,15.0
16828.0,20.0
16829.0,25.0
16832.0,30.0
16814.0,30.0
16819.5,25.0
16822.0,20.0
16830.0,25.0
16831.0,30.0
16834.0,35.0
16839.0,30.0
16826.5,-5.0
16829.0,-10.0
16837.0,-5.0
16838.0,0.0
16841.0,5.0
16846.0,0.0
16850.0,-5.0
16850.5,-10.0
16831.5,-5.0
16839.5,0.0
16840.5,5.0
16843.5,10.0
16848.5,5.0
16852.5,0.0
16853.0,-5.0
16847.5,5.0
16848.5,10.0
16851.5,15.0
16856.5,10.0
16860.5,5.0
16861.0,0.0
16867.5,5.0
16872.0,10.0
16849.5,5.0
16852.5,10.0
16857.5,5.0
16861.5,0.0
16862.0,-5.0
16868.5,0.0
16873.0,5.0
16855.5,5.0
16860.5,0.0
16864.5,-5.0
16865.0,-10.0
16871.5,-5.0
16876.0,0.0
16865.5,-5.0
16869.5,-10.0
16870.0,-15.0
16876.5,-10.0
16881.0,-5.0
16888.5,-10.0
16871.5,-5.0
16872.0,-10.0
16878.5,-5.0
16883.0,0.0
16890.5,-5.0
16874.5,-5.0
16881.0,0.0
16885.5,5.0
16893.0,0.0
16887.5,5.0
16892.0,10.0
16899.5,5.0
16896.5,5.0
16904.0,0.0
16911.5,-5.0
17021.5,-5.0
17025.5,-10.0
17036.0,-5.0
17037.5,-10.0
17029.5,-5.0
17040.0,0.0
17041.5,-5.0
17050.5,5.0
17052.0,0.0
17053.5,-5.0
17100.0,-15.0
17104.0,-20.0
17110.0,-15.0
17112.5,-10.0
17114.5,-5.0
17116.5,0.0
17119.0,5.0
17123.5,0.0
17146.5,-5.0
17152.5,0.0
17155.0,5.0
17157.0,10.0
17159.0,15.0
17161.5,20.0
17166.0,15.0
17158.5,5.0
17161.0,10.0
17163.0,15.0
17165.0,20.0
17167.5,25.0
17172.0,20.0
17163.5,5.0
17165.5,10.0
17167.5,15.0
17170.0,20.0
17174.5,15.0
17167.5,5.0
17169.5,10.0
17172.0,15.0
17176.5,10.0
17191.0,5.0
17171.5,5.0
17174.0,10.0
17178.5,5.0
17193.0,0.0
17176.5,5.0
17181.0,0.0
17195.5,-5.0
17185.5,-5.0
17200.0,-10.0
17206.5,-5.0
17208.0,0.0
17214.5,-5.0
17221.0,0.0
17222.5,5.0
17226.0,0.0
17232.0,-5.0
17238.0,0.0
17222.0,5.0
17223.5,10.0
17227.0,5.0
17233.0,0.0
17239.0,5.0
17246.5,0.0
17230.5,5.0
17234.0,0.0
17240.0,-5.0
17246.0,0.0
17253.5,-5.0
17237.5,-5.0
17243.5,-10.0
17249.5,-5.0
17257.0,-10.0
17249.5,-5.0
17255.5,0.0
17263.0,-5.0
17261.5,5.0
17269.0,0.0
17276.5,-5.0
17305.5,-25.0
17306.0,-20.0
17307.0,-15.0
17322.0,-10.0
17324.5,-5.0
17327.0,0.0
17329.0,5.0
17333.5,5.0
17334.5,10.0
17349.5,15.0
17352.0,20.0
17354.5,25.0
17356.5,30.0
17335.5,5.0
17350.5,10.0
17353.0,15.0
17355.5,20.0
17357.5,25.0
17365.5,5.0
17368.0,10.0
17370.5,15.0
17372.5,20.0
17370.5,5.0
17373.0,10.0
17375.0,15.0
17394.0,10.0
17375.5,5.0
17377.5,10.0
17396.5,5.0
17400.0,0.0
17379.5,5.0
17398.5,0.0
17402.0,-5.0
17403.5,-10.0
17417.5,-5.0
17421.0,-10.0
17422.5,-15.0
17425.0,-20.0
17442.5,-25.0
17424.5,-5.0
17426.0,-10.0
17428.5,-15.0
17446.0,-20.0
17427.5,-5.0
17430.0,-10.0
17447.5,-15.0
17432.5,-5.0
17450.0,-10.0
17467.5,-5.0
17516.5,-15.0
17519.0,-10.0
17525.5,-15.0
17530.0,-10.0
17534.0,-5.0
17537.0,0.0
17540.0,5.0
17562.5,5.0
17569.0,0.0
17573.5,5.0
17577.5,10.0
17580.5,15.0
17583.5,20.0
17575.5,-5.0
17580.0,0.0
17584.0,5.0
17587.0,10.0
17590.0,15.0
17584.5,5.0
17588.5,10.0
17591.5,15.0
17594.5,20.0
17592.5,5.0
17595.5,10.0
17598.5,15.0
17598.5,5.0
17601.5,10.0
17604.5,5.0
17693.5,-5.0
17696.5,-10.0
17698.5,-15.0
